"x","M","I","S","L","U"
0,0,0,100,0,0
0.1,2.19819954883476e-05,0.0399700149943776,99.9600080030101,0,0
0.2,8.78806026912501e-05,0.0798801199100545,99.9200319994873,0,0
0.3,0.000197615605710782,0.119730404544786,99.8800719798495,0,0
0.4,0.000351101964433378,0.159520958561725,99.8401279394738,0,0
0.5,0.000548254072378357,0.199251871489643,99.800199874438,0,0
0.6,0.000788989842728426,0.238923232723103,99.7602877774342,0,0
0.7,0.00107322639552793,0.278535131522688,99.7203916420818,0,0
0.8,0.00140088099037872,0.318087657015187,99.6805114619944,0,0
0.9,0.00177187101844129,0.357580898193795,99.6406472307877,0,0
1,0.00218611399716737,0.397014943918329,99.6007989420845,0,0
1.1,0.00264352757530895,0.436389882915403,99.5609665895093,0,0
1.2,0.00314402953241678,0.475705803778645,99.5211501666889,0,0
1.3,0.00368753777827996,0.514962794968902,99.4813496672528,0,0
1.4,0.00427397035272741,0.554160944814413,99.4415650848329,0,0
1.5,0.00490324542543852,0.593300341511032,99.4017964130635,0,0
1.6,0.00557528129574269,0.632381073122421,99.3620436455818,0,0
1.7,0.00628999639242028,0.671403227580239,99.3223067760273,0,0
1.8,0.00704730927350652,0.710366892684352,99.2825857980421,0,0
1.9,0.00784713862609505,0.749272156103025,99.2428807052709,0,0
2,0.00868940326614168,0.788119105373116,99.2031914913607,0,0
2.1,0.00957402213826848,0.826907827900275,99.1635181499615,0,0
2.2,0.0105009143155681,0.865638410959146,99.1238606747253,0,0
2.3,0.0114699989994085,0.904310941693559,99.084219059307,0,0
2.4,0.0124811955192377,0.942925507116719,99.044593297364,0,0
2.5,0.0135344233323892,0.981482194111418,99.0049833825562,0,0
2.6,0.0146296020238874,1.01998108943022,98.9653893085459,0,0
2.7,0.0157666513062537,1.05842227969565,98.9258110689981,0,0
2.8,0.016945491019312,1.09680585140041,98.8862486575803,0,0
2.9,0.0181660411299958,1.13513189090755,98.8467020679625,0,0
3,0.0194282217321545,1.17340048445067,98.8071712938172,0,0
3.1,0.0207319530463602,1.21161171813413,98.7676563288195,0,0
3.2,0.0220771554197158,1.24976567793321,98.7281571666471,0,0
3.3,0.0234637493256614,1.28786244969434,98.68867380098,0,0
3.4,0.0248916553637832,1.32590211913528,98.6492062255009,0,0
3.5,0.0263607942596211,1.3638847718453,98.6097544338951,0,0
3.6,0.0278710868644772,1.40181049328538,98.5703184198501,0,0
3.7,0.0294224541552245,1.43967936878841,98.5308981770564,0,0
3.8,0.0310148172341161,1.47749148355938,98.4914936992065,0,0
3.9,0.0326480973285944,1.51524692267556,98.4521049799959,0,0
4,0.0343222157911006,1.5529457710867,98.4127320131222,0,0
4.1,0.0360370940988847,1.59058811361524,98.3733747922859,0,0
4.2,0.0377926538538155,1.62817403495645,98.3340333111897,0,0
4.3,0.0395888167821912,1.66570361967867,98.2947075635391,0,0
4.4,0.0414255047345501,1.7031769522235,98.255397543042,0,0
4.5,0.0433026396854814,1.74059411690594,98.2161032434086,0,0
4.6,0.0452201437334369,1.77795519791461,98.176824658352,0,0
4.7,0.0471779391005422,1.81526027931199,98.1375617815875,0,0
4.8,0.0491759481324088,1.85250944503451,98.0983146068331,0,0
4.9,0.0512140932979463,1.88970277889282,98.0590831278092,0,0
5,0.0532922971891743,1.92684036457192,98.0198673382389,0,0
5.1,0.055410482521036,1.96392228563141,97.9806672318475,0,0
5.2,0.0575685721312103,2.00094862550562,97.9414828023632,0,0
5.3,0.0597664889799258,2.03791946750383,97.9023140435162,0,0
5.4,0.0620041561497738,2.07483489481045,97.8631609490398,0,0
5.5,0.0642814968455225,2.11169499048521,97.8240235126693,0,0
5.6,0.0665984343939311,2.14849983746334,97.7849017281427,0,0
5.7,0.0689548922435639,2.18524951855576,97.7457955892007,0,0
5.8,0.0713507939646053,2.22194411644927,97.7067050895861,0,0
5.9,0.0737860632486744,2.25858371370673,97.6676302230446,0,0
6,0.0762606239086408,2.29516839276725,97.6285709833241,0,0
6.1,0.0787743998784397,2.33169823594637,97.5895273641752,0,0
6.2,0.0813273152128875,2.36817332543625,97.5504993593509,0,0
6.3,0.0839192940874984,2.40459374330587,97.5114869626066,0,0
6.4,0.0865502607983004,2.44095957150117,97.4724901677005,0,0
6.5,0.0892201397616519,2.47727089184529,97.4335089683931,0,0
6.6,0.0919288555140589,2.51352778603871,97.3945433584472,0,0
6.7,0.0946763327119918,2.54973033565945,97.3555933316285,0,0
6.8,0.0974624961317031,2.58587862216329,97.316658881705,0,0
6.9,0.100287270669045,2.62197272688385,97.2777400024471,0,0
7,0.103150581339287,2.65801273103292,97.2388366876278,0,0
7.1,0.106052353276936,2.69399871570049,97.1999489310226,0,0
7.2,0.108992511735551,2.72993076185507,97.1610767264094,0,0
7.3,0.111970982087567,2.76580895034376,97.1222200675687,0,0
7.4,0.11498768982411,2.80163336189251,97.0833789482834,0,0
7.5,0.118042560554818,2.83740407710625,97.0445533623389,0,0
7.6,0.12113552000766,2.87312117646911,97.0057433035232,0,0
7.7,0.124266494028758,2.90878474034458,96.9669487656267,0,0
7.8,0.127435408582204,2.9443948489757,96.9281697424421,0,0
7.9,0.130642189749881,2.97995158248521,96.8894062277649,0,0
8,0.133886763731288,3.0154550208758,96.8506582153929,0,0
8.1,0.137169056843354,3.0509052440302,96.8119256991264,0,0
8.2,0.140488995520266,3.08630233171144,96.7732086727683,0,0
8.3,0.143846506313285,3.12164636356298,96.7345071301237,0,0
8.4,0.147241515890573,3.15693741910891,96.6958210650005,0,0
8.5,0.150673951037008,3.1921755777541,96.6571504712089,0,0
8.6,0.154143738654016,3.22736091878445,96.6184953425615,0,0
8.7,0.157650805759384,3.26249352136697,96.5798556728736,0,0
8.8,0.161195079487088,3.29757346455005,96.5412314559629,0,0
8.9,0.164776487087117,3.33260082726356,96.5026226856493,0,0
9,0.168394955925294,3.36757568831908,96.4640293557556,0,0
9.1,0.172050413483098,3.40249812641008,96.4254514601068,0,0
9.2,0.175742787357493,3.43736822011205,96.3868889925305,0,0
9.3,0.179472005260749,3.4721860478827,96.3483419468566,0,0
9.4,0.183237995020264,3.50695168806219,96.3098103169175,0,0
9.5,0.187040684578396,3.5416652188732,96.2712940965484,0,0
9.6,0.190880001992281,3.5763267184212,96.2327932795865,0,0
9.7,0.19475587543366,3.61093626469457,96.1943078598718,0,0
9.8,0.198668233188707,3.64549393556482,96.1558378312465,0,0
9.9,0.202617003657854,3.6799998087867,96.1173831875554,0,0
10,0.206602115355613,3.71445396199846,96.0789439226459,0,0
10.1,0.210623496910408,3.74885647272195,96.0405200303676,0,0
10.2,0.214681077064398,3.78320741836283,96.0021115045728,0,0
10.3,0.218774784673305,3.81750687621075,95.9637183391159,0,0
10.4,0.222904548706241,3.85175492343951,95.9253405278542,0,0
10.5,0.227070298245536,3.88595163710721,95.8869780646473,0,0
10.6,0.231271962486563,3.92009709415649,95.848630943357,0,0
10.7,0.235509470737568,3.95419137141464,95.8102991578478,0,0
10.8,0.2397827524195,3.98823454559379,95.7719827019867,0,0
10.9,0.244091737065835,4.0222266932911,95.7336815696431,0,0
11,0.248436354322409,4.05616789098891,95.6953957546887,0,0
11.1,0.252816533947241,4.09005821505495,95.6571252509978,0,0
11.2,0.25723220581037,4.12389774174243,95.6188700524472,0,0
11.3,0.261683299893677,4.15768654719033,95.580630152916,0,0
11.4,0.266169746290721,4.19142470742347,95.5424055462858,0,0
11.5,0.270691475206564,4.22511229835271,95.5041962264407,0,0
11.6,0.275248416957604,4.25874939577516,95.4660021872672,0,0
11.7,0.279840501971402,4.2923360753743,95.4278234226543,0,0
11.8,0.284467660786519,4.32587241272017,95.3896599264933,0,0
11.9,0.28912982405234,4.35935848326953,95.3515116926781,0,0
12,0.293826922528911,4.39279436236608,95.313378715105,0,0
12.1,0.298558887086765,4.42618012524055,95.2752609876727,0,0
12.2,0.303325648706759,4.45951584701091,95.2371585042823,0,0
12.3,0.308127138479903,4.49280160268256,95.1990712588375,0,0
12.4,0.31296328760719,4.52603746714846,95.1609992452443,0,0
12.5,0.317834027399434,4.55922351518932,95.1229424574113,0,0
12.6,0.3227392892771,4.59235982147377,95.0849008892491,0,0
